Table 4,,,,,,,,,,,,,,,,,,,,,,,
Crime in the United States1,,,, , , , , ,,,,,,,,,,,,,,,
"by Region, Geographic Division, and State, 2018–2019",,,,,, , ,,,,,,,,,,,,,,,,
Area,Year,Population2,Violent crime3,,"Murder and 
nonnegligent 
manslaughter",,"Rape
(revised definition)4",,Robbery,,Aggravated assault,,Property crime,,Burglary,,Larceny-theft,,Motor vehicle theft,,,,
,2019,"28,995,881","121,474",418.9,"1,409",4.9,"14,824",51.1,"28,988",100,"76,253",263,"693,204","2,390.70","113,902",392.8,"501,813","1,730.60","77,489",267.2,,,
,Percent change,,2.8,1.5,6.2,4.8,-1.8,-3.1,2.3,1,3.8,2.5,1.8,0.5,-3.4,-4.6,1.7,0.5,10.7,9.3,,,
West,2018,"77,834,820","330,924",425.2,"3,249",4.2,"38,326",49.2,"82,822",106.4,"206,527",265.3,"1,983,626","2,548.50","338,624",435.1,"1,359,012","1,746.00","285,990",367.4,,,
,2019,"78,347,268","323,966",413.5,"3,175",4.1,"36,324",46.4,"78,933",100.7,"205,534",262.3,"1,889,523","2,411.70","306,686",391.4,"1,321,742","1,687.00","261,095",333.3,,,
,Percent change,,-2.1,-2.7,-2.3,-2.9,-5.2,-5.8,-4.7,-5.3,-0.5,-1.1,-4.7,-5.4,-9.4,-10,-2.7,-3.4,-8.7,-9.3,,,
Mountain,2018,"24,511,745","108,278",441.7,"1,101",4.5,"15,175",61.9,"18,575",75.8,"73,427",299.6,"630,953","2,574.10","107,336",437.9,"447,137","1,824.20","76,480",312,,,
,2019,"24,854,998","104,878",422,"1,054",4.2,"14,562",58.6,"17,252",69.4,"72,010",289.7,"587,493","2,363.70","95,964",386.1,"419,649","1,688.40","71,880",289.2,,,
,Percent change,,-3.1,-4.5,-4.3,-5.6,-4,-5.4,-7.1,-8.4,-1.9,-3.3,-6.9,-8.2,-10.6,-11.8,-6.1,-7.4,-6,-7.3,,,
     Arizona,2018,"7,158,024","34,053",475.7,383,5.4,"3,605",50.4,"6,509",90.9,"23,556",329.1,"192,730","2,692.50","31,787",444.1,"141,789","1,980.80","19,154",267.6,,,
,2019,"7,278,717","33,141",455.3,365,5,"3,662",50.3,"6,410",88.1,"22,704",311.9,"177,638","2,440.50","28,699",394.3,"130,788","1,796.90","18,151",249.4,,,
,Percent change,,-2.7,-4.3,-4.7,-6.3,1.6,-0.1,-1.5,-3.2,-3.6,-5.2,-7.8,-9.4,-9.7,-11.2,-7.8,-9.3,-5.2,-6.8,,,
     Colorado,2018,"5,691,287","22,851",401.5,215,3.8,"4,328",76,"3,781",66.4,"14,527",255.2,"154,292","2,711.00","21,757",382.3,"110,518","1,941.90","22,017",386.9,,,
,2019,"5,758,736","21,938",381,218,3.8,"3,872",67.2,"3,663",63.6,"14,185",246.3,"149,189","2,590.70","20,064",348.4,"107,012","1,858.30","22,113",384,,,
,Percent change,,-4,-5.1,1.4,0.2,-10.5,-11.6,-3.1,-4.3,-2.4,-3.5,-3.3,-4.4,-7.8,-8.9,-3.2,-4.3,0.4,-0.7,,,
     Idaho,2018,"1,750,536","4,196",239.7,34,1.9,927,53,195,11.1,"3,040",173.7,"25,822","1,475.10","4,990",285.1,"18,876","1,078.30","1,956",111.7,,,
,2019,"1,787,065","4,000",223.8,35,2,809,45.3,155,8.7,"3,001",167.9,"21,793","1,219.50","3,927",219.7,"16,295",911.8,"1,571",87.9,,,
,Percent change,,-4.7,-6.6,2.9,0.8,-12.7,-14.5,-20.5,-22.1,-1.3,-3.3,-15.6,-17.3,-21.3,-22.9,-13.7,-15.4,-19.7,-21.3,,,
     Montana,2018,"1,060,665","4,040",380.9,37,3.5,569,53.6,270,25.5,"3,164",298.3,"26,787","2,525.50","3,329",313.9,"20,641","1,946.00","2,817",265.6,,,
,2019,"1,068,778","4,328",404.9,27,2.5,624,58.4,205,19.2,"3,472",324.9,"23,440","2,193.20","2,887",270.1,"18,176","1,700.60","2,377",222.4,,,
,Percent change,,7.1,6.3,-27,-27.6,9.7,8.8,-24.1,-24.7,9.7,8.9,-12.5,-13.2,-13.3,-13.9,-11.9,-12.6,-15.6,-16.3,,,
     Nevada,2018,"3,027,341","16,715",552.1,202,6.7,"2,329",76.9,"3,862",127.6,"10,322",341,"73,998","2,444.30","17,741",586,"44,341","1,464.70","11,916",393.6,,,
,2019,"3,080,156","15,210",493.8,143,4.6,"2,161",70.2,"3,286",106.7,"9,620",312.3,"71,525","2,322.10","15,510",503.5,"44,755","1,453.00","11,260",365.6,,,
,Percent change,,-9,-10.6,-29.2,-30.4,-7.2,-8.8,-14.9,-16.4,-6.8,-8.4,-3.3,-5,-12.6,-14.1,0.9,-0.8,-5.5,-7.1,,,
     New Mexico,2018,"2,092,741","17,637",842.8,153,7.3,"1,302",62.2,"2,646",126.4,"13,536",646.8,"70,722","3,379.40","16,102",769.4,"44,592","2,130.80","10,028",479.2,,,
,2019,"2,096,829","17,450",832.2,181,8.6,"1,288",61.4,"2,341",111.6,"13,640",650.5,"65,269","3,112.70","14,610",696.8,"41,702","1,988.80","8,957",427.2,,,
,Percent change,,-1.1,-1.3,18.3,18.1,-1.1,-1.3,-11.5,-11.7,0.8,0.6,-7.7,-7.9,-9.3,-9.4,-6.5,-6.7,-10.7,-10.9,,,
     Utah,2018,"3,153,550","7,551",239.4,63,2,"1,854",58.8,"1,237",39.2,"4,397",139.4,"76,294","2,419.30","10,079",319.6,"58,406","1,852.10","7,809",247.6,,,
,2019,"3,205,958","7,553",235.6,72,2.2,"1,822",56.8,"1,125",35.1,"4,534",141.4,"69,546","2,169.30","8,871",276.7,"53,937","1,682.40","6,738",210.2,,,
,Percent change,,*,-1.6,14.3,12.4,-1.7,-3.3,-9.1,-10.5,3.1,1.4,-8.8,-10.3,-12,-13.4,-7.7,-9.2,-13.7,-15.1,,,
     Wyoming,2018,"577,601","1,235",213.8,14,2.4,261,45.2,75,13,885,153.2,"10,308","1,784.60","1,551",268.5,"7,974","1,380.50",783,135.6,, ,
,2019,"578,759","1,258",217.4,13,2.2,324,56,67,11.6,854,147.6,"9,093","1,571.10","1,396",241.2,"6,984","1,206.70",713,123.2,,,
,Percent change,,1.9,1.7,-7.1,-7.3,24.1,23.9,-10.7,-10.8,-3.5,-3.7,-11.8,-12,-10,-10.2,-12.4,-12.6,-8.9,-9.1,,,
Pacific,2018,"53,323,075","222,646",417.5,"2,148",4,"23,151",43.4,"64,247",120.5,"133,100",249.6,"1,352,673","2,536.70","231,288",433.7,"911,875","1,710.10","209,510",392.9,,,
,2019,"53,492,270","219,088",409.6,"2,121",4,"21,762",40.7,"61,681",115.3,"133,524",249.6,"1,302,030","2,434.10","210,722",393.9,"902,093","1,686.40","189,215",353.7,, ,
,Percent change,,-1.6,-1.9,-1.3,-1.6,-6,-6.3,-4,-4.3,0.3,*,-3.7,-4,-8.9,-9.2,-1.1,-1.4,-9.7,-10,,,
     Alaska,2018,"735,139","6,555",891.7,47,6.4,"1,212",164.9,896,121.9,"4,400",598.5,"24,345","3,311.60","3,985",542.1,"16,364","2,226.00","3,996",543.6,,,
,2019,"731,545","6,343",867.1,69,9.4,"1,088",148.7,826,112.9,"4,360",596,"21,294","2,910.80","3,563",487.1,"15,114","2,066.00","2,617",357.7,,,
,Percent change, ,-3.2,-2.8,46.8,47.5,-10.2,-9.8,-7.8,-7.4,-0.9,-0.4,-12.5,-12.1,-10.6,-10.2,-7.6,-7.2,-34.5,-34.2,,,
     California,2018,"39,461,588","176,604",447.5,"1,739",4.4,"15,506",39.3,"54,328",137.7,"105,031",266.2,"941,644","2,386.20","164,645",417.2,"621,779","1,575.70","155,220",393.3,,,
,2019,"39,512,223","174,331",441.2,"1,690",4.3,"14,799",37.5,"52,301",132.4,"105,541",267.1,"921,114","2,331.20","152,555",386.1,"626,802","1,586.30","141,757",358.8,,,
,Percent change,,-1.3,-1.4,-2.8,-2.9,-4.6,-4.7,-3.7,-3.9,0.5,0.4,-2.2,-2.3,-7.3,-7.5,0.8,0.7,-8.7,-8.8,,,
     Hawaii,2018,"1,420,593","3,622",255,40,2.8,709,49.9,951,66.9,"1,922",135.3,"41,027","2,888.00","5,709",401.9,"29,600","2,083.60","5,718",402.5,,,
,2019,"1,415,872","4,042",285.5,48,3.4,765,54,"1,131",79.9,"2,098",148.2,"40,228","2,841.20","5,340",377.2,"29,634","2,093.00","5,254",371.1,,,
,Percent change,,11.6,12,20,20.4,7.9,8.3,18.9,19.3,9.2,9.5,-1.9,-1.6,-6.5,-6.2,0.1,0.4,-8.1,-7.8,,,
     Oregon,2018,"4,181,886","12,146",290.4,86,2.1,"2,114",50.6,"2,515",60.1,"7,431",177.7,"122,401","2,926.90","16,515",394.9,"89,191","2,132.80","16,695",399.2,,,
,2019,"4,217,737","11,995",284.4,116,2.8,"1,778",42.2,"2,276",54,"7,825",185.5,"115,170","2,730.60","14,724",349.1,"85,261","2,021.50","15,185",360,,,
,Percent change,,-1.2,-2.1,34.9,33.7,-15.9,-16.6,-9.5,-10.3,5.3,4.4,-5.9,-6.7,-10.8,-11.6,-4.4,-5.2,-9,-9.8,,,
     Washington,2018,"7,523,869","23,719",315.3,236,3.1,"3,610",48,"5,557",73.9,"14,316",190.3,"223,256","2,967.30","40,434",537.4,"154,941","2,059.30","27,881",370.6,,,
,2019,"7,614,893","22,377",293.9,198,2.6,"3,332",43.8,"5,147",67.6,"13,700",179.9,"204,224","2,681.90","34,540",453.6,"145,282","1,907.90","24,402",320.5,,,
,Percent change,,-5.7,-6.8,-16.1,-17.1,-7.7,-8.8,-7.4,-8.5,-4.3,-5.4,-8.5,-9.6,-14.6,-15.6,-6.2,-7.4,-12.5,-13.5,,,
Puerto Rico ,2018,"3,193,354","6,417",200.9,639,20,198,6.2,"2,271",71.1,"3,309",103.6,"24,851",778.2,"5,486",171.8,"15,658",490.3,"3,707",116.1,,,
,2019,"3,193,694","6,479",202.9,606,19,215,6.7,"2,121",66.4,"3,537",110.7,"22,441",702.7,"4,291",134.4,"14,483",453.5,"3,667",114.8,,,
,Percent change, ,1,1,-5.2,-5.2,8.6,8.6,-6.6,-6.6,6.9,6.9,-9.7,-9.7,-21.8,-21.8,-7.5,-7.5,-1.1,-1.1,,,
1 The previous year's crime figures have been adjusted.,,,,,,,,,,,,,,,,,,,,,,,
"2  Population figures are U.S. Census Bureau provisional estimates as of July 1, 2019.",,,,,,,,,,,,,,,,,,,,,,,
"3 The violent crime figures include the offenses of murder, rape (revised definition), robbery, and aggravated assault.",,,,,,,,,,,,,,,,,,,,,,,
4 The figures shown in this column for the offense of rape were estimated using the revised Uniform Crime Reporting (UCR) definition of rape. See data declaration for further explanation.,,,,,,,,,,,,,,,,,,,,,,,
5 Limited data for 2018 were available for Iowa. ,,,,,,,,,,,,,,,,,,,,,,,
6 Includes offenses reported by the Metro Transit Police and the District of Columbia Fire and Emergency Medical Services: Arson Investigation Unit.,,,,,,,,,,,,,,,,,,,,,,,
7 This state's agencies submitted rape data according to the legacy UCR definition of rape.  ,,,,,,,,,,,,,,,,,,,,,,,
* Less than one-tenth of 1 percent.,,,,,,,,,,, ,,,,,,,,,,,,
"NOTE:  Although arson data are included in the trend and clearance tables, sufficient data are not available to estimate totals for this offense.  Therefore, no arson data are published in this table.",,,,,,,,,,,,,,,,,,,,,,,
